"Country","Year","Month","glm","lmer","Insurgency","SAE"
"MALAYSIA",2010,11,0.133794614261218,2.00471506515872e-06,0,0.000642303745356571
"MALAYSIA",2010,12,0.133794614261218,1.91680160234972e-06,0,0.000897527270035108
"MALAYSIA",2010,2,0.133794614261218,1.81080305005106e-07,0,0.000642303745356571
"MALAYSIA",2010,3,0.133794614261218,1.73659950688778e-07,0,0.000642303745356571
"MALAYSIA",2010,4,0.133794614261218,1.65666766019574e-07,0,0.000789148629271743
"MALAYSIA",2010,5,0.133794614261218,1.90777234853133e-07,0,0.000642303745356571
"MALAYSIA",2010,6,0.133794614261218,6.71406996816515e-07,0,0.000642303745356571
"MALAYSIA",2010,7,0.133794614261218,5.32328465533554e-07,0,0.000642303745356571
"MALAYSIA",2010,8,0.133794614261218,5.08121990459648e-07,0,0.000642303745356571
"MALAYSIA",2010,9,0.133794614261218,2.1973952956232e-06,0,0.000642303745356571
"MAURITIUS",2010,1,0.135459307371948,3.16047531246603e-07,0,0.00764982830272292
"MAURITIUS",2010,10,0.135459307371948,9.23412448474839e-06,0,0.00764982830272292
"MAURITIUS",2010,11,0.135459307371948,8.81422631657991e-06,0,0.00764982830272292
"MAURITIUS",2010,12,0.135459307371948,8.42606192785746e-06,0,0.00764982830272292
"MAURITIUS",2010,2,0.135459307371948,3.01675956622997e-07,0,0.00764982830272292
"MAURITIUS",2010,3,0.135459307371948,2.89257724857469e-07,0,0.00764982830272292
"MAURITIUS",2010,4,0.135459307371948,2.76104358121301e-07,0,0.00764982830272292
"MAURITIUS",2010,5,0.135459307371948,4.97132622698012e-06,0,0.00764982830272292
"MAURITIUS",2010,6,0.135459307371948,4.74526697541255e-06,0,0.00764982830272292
"MAURITIUS",2010,7,0.135459307371948,6.01996092628197e-06,0,0.00764982830272292
"MAURITIUS",2010,8,0.135459307371948,5.74621777663561e-06,0,0.00764982830272292
"MAURITIUS",2010,9,0.135459307371948,9.65951362701422e-06,0,0.00764982830272292
"MONGOLIA",2010,1,0.132212718131903,4.6780243024865e-05,0,0.00203253970621861
"MONGOLIA",2010,10,0.132212718131903,6.56561887148807e-05,0,0.00243426728213233
"MONGOLIA",2010,11,0.132212718131903,6.26708024299692e-05,0,0.00203253970621861
"MONGOLIA",2010,12,0.132212718131903,5.99110229122859e-05,0,0.00203253970621861
"MONGOLIA",2010,2,0.132212718131903,4.4653107485603e-05,0,0.00203253970621861
"MONGOLIA",2010,3,0.132212718131903,4.28150788176831e-05,0,0.00203253970621861
"MONGOLIA",2010,4,0.132212718131903,4.0868235137588e-05,0,0.00203253970621861
"MONGOLIA",2010,5,0.132212718131903,4.71115249707396e-05,0,0.00203253970621861
"MONGOLIA",2010,6,0.132212718131903,4.49693264505164e-05,0,0.00203253970621861
"MONGOLIA",2010,7,0.132212718131903,5.18390924271723e-05,0,0.00203253970621861
"MONGOLIA",2010,8,0.132212718131903,4.94819382911137e-05,0,0.00203253970621861
"MONGOLIA",2010,9,0.132212718131903,6.86805990319398e-05,0,0.00234094939794626
"MYANMAR",2010,1,0.0882251795417576,2.09597988029756e-05,0,0.109712358491325
