year,quarter,dpi_pc,cpi_sa_8284,presvote,electq,wtq16,qdates,Fatalities,r,lnr,dlnr,yhat1976,low_95_1976,high_95_1976,yhat1976a,low_90_1976,high_90_1976,yhat1976b,low_67_1976,high_67_1976,yhat1980,low_95_1980,high_95_1980,yhat1980a,low_90_1980,high_90_1980,yhat1980b,low_67_1980,high_67_1980,yhat1984,low_95_1984,high_95_1984,yhat1984a,low_90_1984,high_90_1984,yhat1984b,low_67_1984,high_67_1984,yhat1988,low_95_1988,high_95_1988,yhat1988a,low_90_1988,high_90_1988,yhat1988b,low_67_1988,high_67_1988,yhat1992,low_95_1992,high_95_1992,yhat1992a,low_90_1992,high_90_1992,yhat1992b,low_67_1992,high_67_1992,yhat1996,low_95_1996,high_95_1996,yhat1996a,low_90_1996,high_90_1996,yhat1996b,low_67_1996,high_67_1996,yhat2000,low_95_2000,high_95_2000,yhat2000a,low_90_2000,high_90_2000,yhat2000b,low_67_2000,high_67_2000,yhat2004,low_95_2004,high_95_2004,yhat2004a,low_90_2004,high_90_2004,yhat2004b,low_67_2004,high_67_2004,yhat2008,low_95_2008,high_95_2008,yhat2008a,low_90_2008,high_90_2008,yhat2008b,low_67_2008,high_67_2008
1955,2,1701,26.75667,,0,.3333333,1955q2,0,6357.294,8.757359,8.864212,56.99587,52.46901,61.52274,56.99587,53.92373,60.06802,56.99587,55.66529,58.32646,56.0193,54.0901,57.94849,56.0193,54.59269,57.4459,56.0193,55.32199,56.7166,56.01725,54.52592,57.50858,56.01725,54.87216,57.16234,56.01725,55.42684,56.60766,55.81288,54.67918,56.94658,55.81288,54.92418,56.70157,55.81288,55.34084,56.28492,55.66636,54.58796,56.74475,55.66636,54.80996,56.52275,55.66636,55.20282,56.12989,55.55859,54.62946,56.48773,55.55859,54.81415,56.30304,55.55859,55.15038,55.96681,55.81194,54.61306,57.01083,55.81194,54.84517,56.77871,55.81194,55.27676,56.34713,55.48842,53.55844,57.41839,55.48842,53.92449,57.05235,55.48842,54.61637,56.36047,55.37119,53.57037,57.172,55.37119,53.90633,56.83605,55.37119,54.54972,56.19266
1955,3,1733,26.77667,,0,.3333333,1955q3,0,6472.053,8.775249,7.155991,60.17416,54.91022,65.4381,60.17416,56.6018,63.74652,60.17416,58.62692,61.72139,59.08692,56.3092,61.86465,59.08692,57.03284,61.141,59.08692,58.08292,60.09092,59.18049,57.37964,60.98133,59.18049,57.79774,60.56324,59.18049,58.46754,59.89343,58.91312,57.59147,60.23476,58.91312,57.87709,59.94914,58.91312,58.36282,59.46341,58.76114,57.48811,60.03418,58.76114,57.75018,59.7721,58.76114,58.21394,59.30835,58.70443,57.55327,59.85559,58.70443,57.7821,59.62676,58.70443,58.19867,59.21019,58.87568,57.37228,60.37907,58.87568,57.66335,60.088,58.87568,58.20455,59.5468,58.53352,56.01198,61.05506,58.53352,56.49022,60.57682,58.53352,57.39418,59.67287,58.42669,56.04331,60.81007,58.42669,56.48795,60.36543,58.42669,57.33948,59.5139
1955,4,1749,26.85667,,0,.3333333,1955q4,0,6512.35,8.781456,2.482986,61.41133,57.35353,65.46914,61.41133,58.65752,64.16515,61.41133,60.21862,62.60405,60.90676,58.26077,63.55275,60.90676,58.9501,62.86343,60.90676,59.95037,61.86315,60.96129,59.04482,62.87777,60.96129,59.48976,62.43282,60.96129,60.20256,61.72002,60.71877,59.19811,62.23943,60.71877,59.52674,61.9108,60.71877,60.08561,61.35193,60.50742,59.09755,61.91729,60.50742,59.38779,61.62705,60.50742,59.9014,61.11345,60.54736,59.23367,61.86104,60.54736,59.49481,61.5999,60.54736,59.97019,61.12452,60.76777,59.01461,62.52092,60.76777,59.35403,62.1815,60.76777,59.98515,61.55039,60.02819,57.47178,62.58461,60.02819,57.95663,62.09975,60.02819,58.87309,61.1833,59.92353,57.50759,62.33946,59.92353,57.9583,61.88875,59.92353,58.82146,61.02559
1956,1,1767,26.86,,0,.3333333,1956q1,0,6578.555,8.791571,4.045868,60.93704,57.80217,64.0719,60.93704,58.80957,63.06451,60.93704,60.0156,61.85847,60.88466,58.2947,63.47462,60.88466,58.96943,62.79989,60.88466,59.94852,61.82079,60.88288,58.93608,62.82968,60.88288,59.38807,62.3777,60.88288,60.11215,61.65361,60.67737,59.06379,62.29094,60.67737,59.41251,61.94223,60.67737,60.00552,61.34921,60.43312,58.95633,61.90991,60.43312,59.26035,61.60589,60.43312,59.79833,61.06791,60.51149,59.14779,61.87519,60.51149,59.41887,61.60411,60.51149,59.91235,61.11063,60.78647,58.9672,62.60575,60.78647,59.31942,62.25352,60.78647,59.97434,61.59861,59.81023,57.34159,62.27888,59.81023,57.8098,61.81067,59.81023,58.69479,60.92568,59.70277,57.37458,62.03096,59.70277,57.80892,61.59661,59.70277,58.64073,60.7648
1956,2,1789,27.03667,,0,.3333333,1956q2,0,6616.94,8.797388,2.326965,60.50536,57.52671,63.48401,60.50536,58.48391,62.52682,60.50536,59.62984,61.38088,60.42534,57.97187,62.8788,60.42534,58.61104,62.23963,60.42534,59.53854,61.31214,60.44155,58.58766,62.29545,60.44155,59.01807,61.86504,60.44155,59.7076,61.1755,60.22547,58.72873,61.72222,60.22547,59.05219,61.39875,60.22547,59.60227,60.84867,60.00016,58.61802,61.38231,60.00016,58.90255,61.09777,60.00016,59.40606,60.59427,60.04913,58.77001,61.32826,60.04913,59.02427,61.07399,60.04913,59.48715,60.61111,60.29649,58.60439,61.98858,60.29649,58.93199,61.66098,60.29649,59.54112,61.05185,59.42431,57.04414,61.80447,59.42431,57.49557,61.35305,59.42431,58.34884,60.49977,59.3157,57.07347,61.55793,59.3157,57.49178,61.13963,59.3157,58.29288,60.33853
1956,3,1806,27.31667,,0,.3333333,1956q3,0,6611.348,8.796543,-.3379822,58.9858,55.93373,62.03788,58.9858,56.91452,61.05708,58.9858,58.0887,59.8829,59.06649,56.86281,61.27018,59.06649,57.43691,60.69608,59.06649,58.26998,59.86301,59.04964,57.3763,60.72298,59.04964,57.76479,60.33448,59.04964,58.38717,59.71211,58.8565,57.51312,60.19988,58.8565,57.80344,59.90956,58.8565,58.29715,59.41584,58.63817,57.39835,59.87799,58.63817,57.65358,59.62276,58.63817,58.10524,59.1711,58.65878,57.51466,59.80289,58.65878,57.74209,59.57546,58.65878,58.15611,59.16145,58.92549,57.43462,60.41636,58.92549,57.72326,60.12772,58.92549,58.25996,59.59102,58.06919,55.91856,60.21982,58.06919,56.32645,59.81193,58.06919,57.09744,59.04094,57.95542,55.9381,59.97274,57.95542,56.31445,59.59639,57.95542,57.03519,58.87565
1956,4,1836,27.55,57.76,1,.3333333,1956q4,0,6664.247,8.804512,3.187561,57.46917,54.12447,60.81388,57.46917,55.1993,59.73905,57.46917,56.48606,58.45229,57.5747,55.53526,59.61414,57.5747,56.06657,59.08282,57.5747,56.83755,58.31185,57.53429,56.03388,59.03469,57.53429,56.38223,58.68634,57.53429,56.94028,58.12829,57.35775,56.16276,58.55274,57.35775,56.42101,58.29449,57.35775,56.86019,57.85531,57.1548,56.05324,58.25636,57.1548,56.28001,58.02959,57.1548,56.6813,57.6283,57.13525,56.12422,58.14627,57.13525,56.3252,57.9453,57.13525,56.69106,57.57944,57.41217,56.10727,58.71708,57.41217,56.3599,58.46444,57.41217,56.82965,57.99469,56.63477,54.68499,58.58456,56.63477,55.05479,58.21476,56.63477,55.75377,57.51578,56.51619,54.69679,58.33558,56.51619,55.03621,57.99616,56.51619,55.68624,57.34613
1957,1,1848,27.77667,,0,.3333333,1957q1,0,6653.066,8.802833,-.6717682,56.80026,52.85789,60.74263,56.80026,54.12478,59.47574,56.80026,55.64148,57.95905,57.12046,54.85605,59.38487,57.12046,55.44597,58.79495,57.12046,56.30199,57.93893,57.0406,55.5492,58.53201,57.0406,55.89545,58.18575,57.0406,56.45016,57.63104,56.8902,55.68489,58.09551,56.8902,55.94537,57.83503,56.8902,56.38834,57.39206,56.67292,55.55703,57.78881,56.67292,55.78675,57.55909,56.67292,56.19326,57.15258,56.66358,55.65411,57.67305,56.66358,55.85477,57.47239,56.66358,56.22007,57.10709,56.97565,55.70564,58.24566,56.97565,55.95152,57.99978,56.97565,56.40871,57.54259,56.09218,54.05709,58.12728,56.09218,54.44307,57.7413,56.09218,55.17263,57.01173,55.97079,54.06832,57.87326,55.97079,54.42324,57.51833,55.97079,55.10295,56.83863
1957,2,1865,28.01333,,0,.3333333,1957q2,0,6657.544,8.803506,.2693176,55.48586,48.93108,62.04065,55.48586,51.03747,59.93425,55.48586,53.55921,57.41252,56.90686,51.25836,62.55537,56.90686,52.72989,61.08384,56.90686,54.86523,58.94851,56.62287,54.36216,58.88358,56.62287,54.88702,58.35872,56.62287,55.72786,57.51788,56.60405,54.6882,58.5199,56.60405,55.10224,58.10586,56.60405,55.80635,57.40176,56.2723,54.45215,58.09246,56.2723,54.82685,57.71775,56.2723,55.48992,57.05468,56.39556,54.83842,57.95271,56.39556,55.14795,57.64317,56.39556,55.71143,57.07969,56.92262,55.06948,58.77575,56.92262,55.42826,58.41697,56.92262,56.09536,57.74986,55.2812,52.08479,58.47761,55.2812,52.69103,57.87137,55.2812,53.83692,56.72548,55.15204,52.12544,58.17863,55.15204,52.69008,57.61399,55.15204,53.77141,56.53266
1957,3,1880,28.26333,,0,.3333333,1957q3,0,6651.728,8.802632,-.3494263,54.57433,45.97953,63.16913,54.57433,48.74149,60.40717,54.57433,52.04805,57.10061,56.92678,47.60582,66.24776,56.92678,50.03409,63.81948,56.92678,53.55774,60.29583,56.45971,53.09852,59.8209,56.45971,53.87887,59.04055,56.45971,55.12902,57.79039,56.55824,53.68631,59.43016,56.55824,54.30697,58.80951,56.55824,55.36245,57.75402,56.12008,53.38585,58.85431,56.12008,53.94873,58.29143,56.12008,54.94479,57.29537,56.36996,54.05384,58.68608,56.36996,54.51425,58.22568,56.36996,55.35238,57.38755,57.09521,54.25754,59.93288,57.09521,54.80693,59.3835,57.09521,55.82846,58.36197,54.76236,50.30035,59.22437,54.76236,51.14662,58.3781,54.76236,52.74622,56.7785,54.62719,50.38641,58.86798,54.62719,51.17756,58.07682,54.62719,52.6927,56.56169
