"Country","Year","Month","Glm.simple","Lmer","Insurgency","SAE"
"BHUTAN",2010,4,0.0947421649379927,0.0418464869266753,0,0.0423216558367149
"BHUTAN",2010,5,0.0947421649379927,0.0373411674982228,0,0.0423216558367149
"BHUTAN",2010,6,0.0947421649379927,0.0404186534077905,0,0.0423216558367149
"BHUTAN",2010,7,0.0947421649379927,0.0384578436257833,0,0.0423216558367149
"BHUTAN",2010,8,0.0947421649379927,0.0375607721541364,0,0.0423216558367149
"BHUTAN",2010,9,0.0947421649379927,0.038620733757771,0,0.0423216558367149
"CAMBODIA",2009,1,0.105899992957671,0.157743360029702,0,0.0214013165482931
"CAMBODIA",2009,10,0.105899992957671,0.146951042631018,0,0.0179455367226525
"CAMBODIA",2009,11,0.105899992957671,0.141727561199842,0,0.0179455367226525
"CAMBODIA",2009,12,0.105899992957671,0.141521391929852,0,0.0179455367226525
"CAMBODIA",2009,2,0.105899992957671,0.155686452439156,0,0.0231235490233975
"CAMBODIA",2009,3,0.105899992957671,0.155595542186137,0,0.0179455367226525
"CAMBODIA",2009,4,0.105899992957671,0.151832186777836,0,0.0179455367226525
"CAMBODIA",2009,5,0.105899992957671,0.149902615745589,0,0.0179455367226525
"CAMBODIA",2009,6,0.105899992957671,0.158326794821733,0,0.0179455367226525
"CAMBODIA",2009,7,0.105899992957671,0.147716352234156,0,0.0179455367226525
"CAMBODIA",2009,8,0.105899992957671,0.147439844957006,0,0.0179455367226525
"CAMBODIA",2009,9,0.105899992957671,0.142201885049187,0,0.0179455367226525
"CAMBODIA",2010,1,0.105899992957671,0.135185811523303,0,0.017996254746901
"CAMBODIA",2010,10,0.105899992957671,0.152026261185583,0,0.017996254746901
"CAMBODIA",2010,11,0.105899992957671,0.154043633668646,0,0.017996254746901
"CAMBODIA",2010,12,0.105899992957671,0.156016725807755,0,0.017996254746901
"CAMBODIA",2010,2,0.105899992957671,0.137015821514544,0,0.017996254746901
"CAMBODIA",2010,3,0.105899992957671,0.138686603905043,0,0.017996254746901
"CAMBODIA",2010,4,0.105899992957671,0.140556301888643,0,0.022102653019268
"CAMBODIA",2010,5,0.105899992957671,0.14735290974726,0,0.017996254746901
"CAMBODIA",2010,6,0.105899992957671,0.145955220840599,0,0.017996254746901
"CAMBODIA",2010,7,0.105899992957671,0.147842817131548,0,0.017996254746901
"CAMBODIA",2010,8,0.105899992957671,0.149814483580406,0,0.017996254746901
"CAMBODIA",2010,9,0.105899992957671,0.160614923095609,0,0.017996254746901
"CHINA",2009,1,0.204860228779297,0.141131763077839,0,0.00114786962828701
"CHINA",2009,10,0.204860228779297,0.307166891843441,0,0.00114786962828701
"CHINA",2009,11,0.204860228779297,0.299160351584589,0,0.00114786962828701
"CHINA",2009,12,0.204860228779297,0.227256949020789,0,0.00114786962828701
"CHINA",2009,2,0.204860228779297,0.160206538467301,0,0.00114786962828701
"CHINA",2009,3,0.204860228779297,0.197493071135012,0,0.00134583965917052
"CHINA",2009,4,0.204860228779297,0.173612656414271,0,0.00114786962828701
"CHINA",2009,5,0.204860228779297,0.170049858007681,0,0.00114786962828701
