"last.name","first.name","state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label"
"Lee","Barbara","CA","9","D","F","L000551","29778",85,-1.8812391483705,-2.11545241035673,-1.66419433352556,"Lee (D CA-9)"
"Lee","Christopher","NY","26","R","M","L000568",NA,1581,1.26228750888215,0.257266734258421,2.17586912735036,"Lee (R NY-26)"
"Levin","Sander","MI","12","D","M","L000263","15032",8,-1.12952413238012,-1.26988823643696,-1.01042211667269,"Levin (D MI-12)"
"Lewis","John","GA","5","D","M","L000287","15430",115,-1.57988687614473,-1.75867546922904,-1.39014799157274,"Lewis (D GA-5)"
"Lewis","Jerry","CA","41","R","M","L000274","14644",219,0.650528358660212,0.557511698634516,0.740949677970418,"Lewis (R CA-41)"
"Lipinski","Daniel","IL","3","D","M","L000563","20508",51,-0.550426145790385,-0.640030035894425,-0.472415519701045,"Lipinski (D IL-3)"
"LoBiondo","Frank","NJ","2","R","M","L000554","29539",5,0.325103464879632,0.249778515319079,0.393432099797748,"LoBiondo (R NJ-2)"
"Loebsack","Dave","IA","2","D","M","L000565","20720",39,-0.749382387996813,-0.854234958477324,-0.659908734295534,"Loebsack (D IA-2)"
"Lofgren","Zoe","CA","16","D","F","L000397","29504",67,-1.05279171031683,-1.18569459777542,-0.943320936941389,"Lofgren (D CA-16)"
"Long","Billy","MO","7","R","M","L000576",NA,56,1.13422943608453,1.02182296057182,1.25392646330193,"Long (R MO-7)"
"Lowey","Nita","NY","18","D","F","L000480","15614",57,-1.12040154107433,-1.24986754740091,-0.987749977900739,"Lowey (D NY-18)"
"Lucas","Frank","OK","3","R","M","L000491","29393",29,0.637674840085922,0.550795804822007,0.725127762340714,"Lucas (R OK-3)"
"Luetkemeyer","Blaine","MO","9","R","M","L000569",NA,16,0.898745281684644,0.800226839453258,0.99389963499081,"Luetkemeyer (R MO-9)"
"Lujan","Ben","NM","3","D","M","L000570",NA,48,-0.921286081541212,-1.03083298697679,-0.811796229029727,"Lujan (D NM-3)"
"Lummis","Cynthia","WY","1","R","F","L000571",NA,55,0.994980069481424,0.893493929773654,1.09210098236134,"Lummis (R WY-1)"
"Lungren","Dan","CA","3","R","M","L000517","14647",20,0.715112103413935,0.628301253030284,0.805388427869659,"Lungren (R CA-3)"
"Lynch","Stephen","MA","9","D","M","L000562","20119",54,-0.911063397576079,-1.02525119545405,-0.810232799316396,"Lynch (D MA-9)"
"Mack","Connie","FL","14","R","M","M001155","20503",259,1.2119011717726,1.07598910850247,1.33393695538538,"Mack (R FL-14)"
"Maloney","Carolyn","NY","14","D","F","M000087","29379",77,-1.22295689374494,-1.38157111838171,-1.08727191439866,"Maloney (D NY-14)"
"Manzullo","Donald","IL","16","R","M","M001138","29349",100,0.944868736856676,0.849655527741057,1.04901832670025,"Manzullo (R IL-16)"
"Marchant","Kenny","TX","24","R","M","M001158","20532",99,1.05931387994318,0.952407915595324,1.16516622031867,"Marchant (R TX-24)"
"Marino","Tom","PA","10","R","M","M001179",NA,121,0.800204625180477,0.701948802457159,0.889115481171789,"Marino (R PA-10)"
"Markey","Edward","MA","7","D","M","M000133","14435",56,-1.72212821710355,-1.9451745173933,-1.51970507209211,"Markey (D MA-7)"
"Massie","Thomas","KY","4","R","M","M001184",NA,1551,1.26683514239689,0.897621154920946,1.6418400569733,"Massie (R KY-4)"
"Matheson","Jim","UT","2","D","M","M001142","20140",12,-0.0254927870926121,-0.102023281232434,0.0359498348117037,"Matheson (D UT-2)"
"Matsui","Doris","CA","5","D","F","M001163","20538",14,-1.31105730767447,-1.46948285717202,-1.15695741259254,"Matsui (D CA-5)"
"McCarthy","Carolyn","NY","4","D","F","M000309","29744",113,-0.863199651235224,-0.984280439462315,-0.767961326564984,"McCarthy (D NY-4)"
"McCarthy","Kevin","CA","22","R","M","M001165","20703",44,0.948887924982361,0.846339562108678,1.04919525476676,"McCarthy (R CA-22)"
"McCaul","Michael","TX","10","R","M","M001157","20530",25,0.857011047005621,0.763324889879055,0.950676822168213,"McCaul (R TX-10)"
"McClintock","Tom","CA","4","R","M","M001177",NA,10,0.94733906680957,0.851259301292967,1.045698019063,"McClintock (R CA-4)"
"McCollum","Betty","MN","4","D","F","M001143","20122",90,-1.2411863049213,-1.39633119373637,-1.09616358474706,"McCollum (D MN-4)"
"McCotter","Thaddeus","MI","11","R","M","M001147","20332",282,0.65535615311748,0.563066931393091,0.743203211402776,"McCotter (R MI-11)"
"McDermott","Jim","WA","7","D","M","M000404","15616",40,-1.5896384729427,-1.77278582400454,-1.41270337186748,"McDermott (D WA-7)"
"McGovern","Jim","MA","3","D","M","M000312","29729",19,-1.6059226767558,-1.80351935313645,-1.42014317038512,"McGovern (D MA-3)"
"McHenry","Patrick","NC","10","R","M","M001156","20522",62,1.18724421330485,1.06690182205014,1.31529843456418,"McHenry (R NC-10)"
"McIntyre","Mike","NC","7","D","M","M000485","29746",78,-0.188155551423918,-0.26616244149701,-0.123725702544079,"McIntyre (D NC-7)"
"McKeon","Howard","CA","25","R","M","M000508","29315",59,0.684186730403178,0.603165185531588,0.774886371781217,"McKeon (R CA-25)"
"McKinley","David","WV","1","R","M","M001180",NA,26,0.514863794296504,0.430514359243267,0.596419895974055,"McKinley (R WV-1)"
"McMorris Rodgers","Cathy","WA","5","R","F","M001159","20535",31,0.892874607752281,0.793722666980836,0.989053883221091,"McMorris Rodgers (R WA-5)"
"McNerney","Jerry","CA","11","D","M","M001166","20702",20,-0.878032052266655,-0.99784038236006,-0.785062580138126,"McNerney (D CA-11)"
"Meehan","Pat","PA","7","R","M","M001181",NA,24,0.407331200814579,0.328573823409424,0.482174882961149,"Meehan (R PA-7)"
"Meeks","Gregory","NY","6","D","M","M001137","29776",176,-1.12953624788481,-1.26881168014241,-1.00062081536259,"Meeks (D NY-6)"
"Mica","John","FL","7","R","M","M000689","29331",15,0.973531612538317,0.875783292100935,1.07742642622364,"Mica (R FL-7)"
"Michaud","Michael","ME","2","D","M","M001149","20328",16,-0.696437133164312,-0.798698664984985,-0.61223164271027,"Michaud (D ME-2)"
"Miller","George","CA","7","D","M","M000725","14256",80,-1.27476509825982,-1.42436308706748,-1.12999231904913,"Miller (D CA-7)"
"Miller","Brad","NC","13","D","M","M001154","20341",21,-1.1029399245957,-1.23663523161616,-0.974216706470738,"Miller (D NC-13)"
"Miller","Gary","CA","42","R","M","M001139","29905",117,0.985796000105056,0.882345181432017,1.09310790102208,"Miller (R CA-42)"
"Miller","Jeff","FL","1","R","M","M001144","20110",53,1.18269964076892,1.07056177652873,1.31455812113059,"Miller (R FL-1)"
"Miller","Candice","MI","10","R","F","M001150","20331",11,0.736725738651336,0.653105032880854,0.82559297100182,"Miller (R MI-10)"
"Moore","Gwen","WI","4","D","F","M001160","20537",122,-1.36493219868914,-1.53384263127857,-1.22471916327147,"Moore (D WI-4)"
"Moran","James","VA","8","D","M","M000933","15826",58,-1.07028584659934,-1.19363321571153,-0.942875192475104,"Moran (D VA-8)"
"Mulvaney","Mick","SC","5","R","M","M001182",NA,21,1.10209237774084,0.986676915327299,1.20557549867495,"Mulvaney (R SC-5)"
"Murphy","Christopher","CT","5","D","M","M001169","20707",93,-0.865481975529589,-0.971027978890116,-0.760581871060615,"Murphy (D CT-5)"
"Murphy","Tim","PA","18","R","M","M001151","20346",16,0.695864030091984,0.603805582527334,0.781625561141106,"Murphy (R PA-18)"
"Myrick","Sue","NC","9","R","F","M001134","29549",142,0.989690041791271,0.879807756196607,1.08831965551066,"Myrick (R NC-9)"
"Nadler","Jerrold","NY","8","D","M","N000002","29377",97,-1.57992302248847,-1.78054361546219,-1.40314715272786,"Nadler (D NY-8)"
"Napolitano","Grace","CA","38","D","F","N000179","29903",148,-1.55366869491741,-1.75982989654215,-1.38507996068857,"Napolitano (D CA-38)"
"Neal","Richard","MA","2","D","M","N000015","15618",130,-1.35475058875041,-1.52609770321777,-1.19766673142059,"Neal (D MA-2)"
"Neugebauer","Randy","TX","19","R","M","N000182","20353",25,1.32459234846518,1.18989858195985,1.46383867701036,"Neugebauer (R TX-19)"
"Noem","Kristi","SD","1","R","F","N000184",NA,38,0.728366258588249,0.638364150117247,0.819617016410695,"Noem (R SD-1)"
"Nugent","Richard","FL","5","R","M","N000185",NA,16,0.960598769476989,0.854912051723023,1.05717598943267,"Nugent (R FL-5)"
